Mcat Name,Subcat name,PC_ITEM_ID,PC_ITEM_NAME,FK_IM_SPEC_MASTER_DESC,FK_IM_SPEC_OPTIONS_DESC,PC_ITEM_FOB_PRICE,PC_ITEM_MOQ_UNIT_TYPE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",1,Touch Panel,Display Size,"15.6""  to 80 """,5500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",2,Human Machine Interface,Type,Fully Automatic,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",3,Mitsubishi HMI,Display Type,TFT,12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",3,Mitsubishi HMI,Model Number/Name,GOT,12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",3,Mitsubishi HMI,Product Type,HMI,12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",3,Mitsubishi HMI,Brand,Mitsubishi,12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",3,Mitsubishi HMI,Size,"5',7.5',10,15",12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",3,Mitsubishi HMI,Screen Size,"5,7,10,15",12000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",4,HMI Touch Panels,Display Type,Digital,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",4,HMI Touch Panels,Type,Fully Automatic,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",4,HMI Touch Panels,Operating System,Windows 8,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",4,HMI Touch Panels,Power,240 V,10000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",5,Human Machine Interface,Application,Laboratory,14000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",5,Human Machine Interface,Type,Fully Automatic,14000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",6,Human Machine Interface,Display Type,LCD,14175,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",7,Proface HMI Touch Panel,Brand,PROFACE,5000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",7,Proface HMI Touch Panel,Application,HMI,5000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",7,Proface HMI Touch Panel,Model,PROFACE,5000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",8,Siemens HMI & Displays,Screen Type,KEYPAD + TOUCH,10000,PER PIECE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",8,Siemens HMI & Displays,Type,Manual,10000,PER PIECE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",8,Siemens HMI & Displays,Type,Fully Automatic,10000,PER PIECE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",8,Siemens HMI & Displays,Brand,SIEMENS,10000,PER PIECE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",8,Siemens HMI & Displays,Display Type,TFT,10000,PER PIECE
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",9,Touch Screen HMI,Brand,Other,9500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",9,Touch Screen HMI,Power,5w,9500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",10,Schneider Electric HMI Touch Panel,Model,Latest,25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",10,Schneider Electric HMI Touch Panel,Product Type,Touch panel,25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",10,Schneider Electric HMI Touch Panel,Brand,Schneider,25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",10,Schneider Electric HMI Touch Panel,Brightness,Yes,25000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",11,Human Machine Interface,Brand,Delta,14000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",11,Human Machine Interface,Display Type,Touch Screen,14000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",11,Human Machine Interface,Screen Type,"Touch,Keypad",14000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",12,Human Machine Interface,Application,HMI,14175,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",12,Human Machine Interface,Model,HMI,14175,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",12,Human Machine Interface,Brand,WECON,14175,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",12,Human Machine Interface,Screen Size,4 INCH ONWARD,14175,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",13,True Color HMI Touch Screen,Screen Size(Inches),3.5,9900,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",14,Flexi Panels HMI With Expansion slots,Screen Size(Inches),3.5 to10.2 inches,20000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",15,Four Lines Displaying Text Panel,Power,24v Dc,12000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",16,Wecon 7 Inch Hmi With Ethernet Levi700 E-N,Screen Size(Inches),7 inch,16000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",17,Siemens Comfort Panels,Operating System,Windows 7,80000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",18,Siemens HMI Touch Panels,Brand,Siemens,50000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",19,Industrial HMI Touch Panel,Brand,Analyte Controls,10500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",19,Industrial HMI Touch Panel,Power,24v Dc,10500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",20,HMI Panel,Operating System,Windows 8,190000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",20,HMI Panel,Display Type,TFT Colour LCD,190000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",20,HMI Panel,Screen Size,10.4 inch,190000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,Types of PLCs,IntegratedPLC,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,Types of PLCs,Modular PLC,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,Types of PLCs,Small PLC,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,Types of PLCs,Large PLC,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,We Repair,Programmable Logic Controller (PLC),4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,We Repair,CNC Control,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,We Repair,Electronic Display,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",21,Omron HMI Repairing Services,We Repair,Fastening System,4500,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Model,"OP7,OP77",21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Application,Industrial,21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Monitor Size,any,21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Screen Type,LCD,21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Display Type,LCD,21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Power,24,21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Screen Size,4 lines display,21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",22,Siemens Operator Panel OP7,Brand,Siemens,21000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",23,Wecon 4.3 Inch Ethernet HMI:LEVI2043E-N,Screen Size,4 3 inch,10500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",23,Wecon 4.3 Inch Ethernet HMI:LEVI2043E-N,Display Type,LCD,10500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",23,Wecon 4.3 Inch Ethernet HMI:LEVI2043E-N,Model,2043-EN,10500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",23,Wecon 4.3 Inch Ethernet HMI:LEVI2043E-N,Screen Type,LCD Touch Screen,10500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",23,Wecon 4.3 Inch Ethernet HMI:LEVI2043E-N,Type,Manual,10500,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",24,NS8-TV00B-ECV2 Touch Glass,Display Size (inch),NS8-TV00B-ECV2 TOUCH GLASS,4520,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",25,HMI Operator Panels,Display Type,Digital,80000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",25,HMI Operator Panels,Display Size,"15"" TFT-LCD",80000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",26,Harsh Environment HMI,Screen Size,10,120000,Unit
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",27,6AV6642-0DC01-1AX1 Screen,Display Size (inch),6AV6642-0DC01-1AX1,121000,Piece
HMI Touch Panel,"AC Drives, Recorders, Instrumentation Equipments and Control Panels & Units",28,Delta Human Machine Interface Touch Panel,Display Size (inch),7 Inch,5060,Piece
